Timestamp,STG Gross Power (MW),HP Steam Inlet Flow (KPPH),HP Steam Inlet Pressure (PSIA),HP Steam Inlet Temperature (DEGF),LP Steam Inlet Flow (KPPH),LP Steam Inlet Pressure (PSIA),LP Steam Admin Temperature (DEGF),LP Steam Exhaust Pressure (PSIA),HP Flow Function,HP Isentropic Efficiency (%),LP Flow Function,LP Isentropic Efficiency (%)
2016-07-08,157.41689,1089.7401,899.55853,952.4844,264.3812,82.648926,433.23743,1.4818417,34320.84,92.0011,72842.8,70.054214
2016-07-09,159.73547,1101.6049,906.0795,946.1546,272.71323,83.699776,435.15137,1.4050633,34345.96,92.0669,74273.336,69.84999
2016-07-10,166.31523,1143.4176,937.3789,944.5875,285.6966,86.74336,438.60703,1.4105453,34410.164,92.20844,75183.55,69.735634
2016-07-11,167.94896,1153.0916,947.2265,946.06714,287.29846,87.471306,439.35437,1.4085993,34346.582,92.14018,75004.33,69.7411
2016-07-12,165.69756,1141.657,938.94885,947.9292,282.70575,86.560165,438.19537,1.4547663,34341.055,92.16764,74541.26,69.73966
2016-07-13,164.79247,1141.6937,937.9779,945.0785,285.3337,86.676216,438.7169,1.4722891,34336.824,92.05629,75153.85,69.293816
2016-07-14,164.30692,1146.223,943.49695,950.34247,282.26346,86.9665,438.31503,1.5758821,34343.645,92.07034,74079.73,68.99415
2016-07-15,160.1613,1117.6422,921.19275,951.70465,272.8939,84.74421,435.70615,1.5036399,34340.383,92.13192,73410.4,68.64651
2016-07-17,161.91423,1120.5568,923.24347,952.5582,272.48016,84.82545,435.52582,1.4632697,34362.117,92.070305,73198.26,69.46259
2016-07-18,168.17917,1170.1763,963.6184,954.77527,284.7852,88.52445,439.49277,1.5872236,34380.746,91.94449,73509.7,69.067825
2016-07-19,165.60791,1141.527,938.8951,948.6808,281.62,86.471725,438.05698,1.3995945,34352.992,92.14706,74358.086,69.173134
2016-07-20,168.11691,1162.2153,955.4151,947.7475,288.88834,88.10538,440.34152,1.4153073,34337.473,92.02713,74896.28,68.69821
2016-07-21,164.55981,1132.486,932.00323,950.91113,277.5355,85.78117,436.86377,1.432931,34369.355,92.00541,73768.01,69.89353
2016-07-22,158.57866,1099.775,907.85016,955.17584,265.3485,83.32231,433.72525,1.5299382,34351.527,92.05448,72527.55,69.952446
2016-07-23,162.08107,1117.6913,922.0088,954.63873,270.34882,84.68427,435.3624,1.4741037,34352.668,92.08269,72753.56,70.00351
2016-07-24,159.37752,1099.3516,907.4585,954.45685,265.40106,83.25561,433.69974,1.4311078,34343.266,92.00689,72600.74,69.88658
2016-07-25,162.32036,1126.8385,927.3555,949.55414,277.921,85.53234,436.80515,1.5597775,34355.59,92.20904,74120.21,69.72535
2016-07-26,159.93973,1106.5305,913.6372,952.0195,269.0556,83.83086,434.15335,1.4782443,34295.305,92.06568,73105.63,69.83487
2016-07-27,171.40681,1180.4576,974.01135,958.08167,284.204,89.20696,439.6371,1.4933901,34355.684,92.02069,72867.164,69.42315
